date,000905.SH_成交额
2017-05-24,62845340538.0
2017-05-25,75351887954.0
2017-05-26,65692499036.0
2017-05-31,66221305694.0
2017-06-01,65490263888.0
2017-06-02,61562500697.0
2017-06-05,59775835963.0
2017-06-06,53237820722.0
2017-06-07,81742004615.0
2017-06-08,74753009505.0
2017-06-09,69574732886.0
2017-06-12,70214585117.0
2017-06-13,70753185224.0
2017-06-14,71476434180.0
2017-06-15,73277153514.0
2017-06-16,66287703874.0
2017-06-19,67315215224.00001
2017-06-20,77790508880.0
2017-06-21,66856678681.0
2017-06-22,82350322636.0
2017-06-23,73951244991.0
2017-06-26,86328092268.0
2017-06-27,75563273773.0
2017-06-28,71450336215.0
2017-06-29,70846315032.0
2017-06-30,66361720180.0
2017-07-03,74248241220.0
2017-07-04,76708822695.0
2017-07-05,83041215553.0
2017-07-06,97626267780.0
2017-07-07,93885482338.0
2017-07-10,104581745916.0
2017-07-11,90795353530.0
2017-07-12,89554635963.0
2017-07-13,96251741979.0
2017-07-14,80743682309.0
2017-07-17,113040983147.0
2017-07-18,83831518529.0
2017-07-19,108845290784.0
2017-07-20,105755231487.0
2017-07-21,97182317720.0
2017-07-24,114327774240.0
2017-07-25,102685759983.0
2017-07-26,105711416131.0
2017-07-27,121283201419.0
2017-07-28,104848546513.0
2017-07-31,129773218265.0
2017-08-01,116917914719.0
2017-08-02,132732752804.0
2017-08-03,113164040247.0
2017-08-04,140098302354.0
2017-08-07,114075085978.0
2017-08-08,131243284609.0
2017-08-09,123988807118.0
2017-08-10,127938266172.0
2017-08-11,131559160784.0
2017-08-14,113335483019.0
2017-08-15,107585954406.0
2017-08-16,113207847055.0
2017-08-17,119456888913.0
2017-08-18,111490643528.0
2017-08-21,105733629878.0
2017-08-22,116758431356.0
2017-08-23,94213289884.0
2017-08-24,86463516864.0
2017-08-25,94698935464.0
2017-08-28,123347859463.0
2017-08-29,111434485531.0
2017-08-30,115513787287.0
2017-08-31,110910641361.0
2017-09-01,140862432142.0
2017-09-04,143876861352.0
2017-09-05,120125205055.0
2017-09-06,136238488046.0
2017-09-07,133940730900.0
2017-09-08,120912386810.0
2017-09-11,134674487526.0
2017-09-12,190294359591.0
2017-09-13,136521604484.0
2017-09-14,145426308339.0
2017-09-15,134077144216.0
2017-09-18,110670656817.0
2017-09-19,117508671750.0
2017-09-20,126534090097.0
2017-09-21,121143624354.0
2017-09-22,103274189389.0
2017-09-25,97438346165.0
2017-09-26,82514551821.0
2017-09-27,94752430763.0
2017-09-28,94419077217.0
2017-09-29,91769780478.0
2017-10-09,110668639557.0
2017-10-10,111479285756.0
2017-10-11,120911021266.0
2017-10-12,99226610301.0
2017-10-13,94892307593.0
2017-10-16,109216606951.0
2017-10-17,78773100832.0
2017-10-18,88963265926.0
2017-10-19,85253455867.0
2017-10-20,77533389311.0
2017-10-23,79350010217.0
2017-10-24,78606997172.0
2017-10-25,80183428258.0
2017-10-26,104752208937.0
2017-10-27,90443686927.0
2017-10-30,109249594174.0
2017-10-31,88141843094.0
2017-11-01,92988635163.0
2017-11-02,90871972558.0
2017-11-03,89315916521.0
2017-11-06,93924410675.0
2017-11-07,97329814711.0
2017-11-08,101625899478.0
2017-11-09,93514199765.0
2017-11-10,112205348031.0
2017-11-13,122270419658.0
2017-11-14,120407808369.0
2017-11-15,107724900824.0
2017-11-16,97928408033.0
2017-11-17,115827869491.0
2017-11-20,95164685557.0
2017-11-21,97778880445.0
2017-11-22,99818243008.0
2017-11-23,104105221545.0
2017-11-24,82258346140.0
2017-11-27,78092823001.0
2017-11-28,71418772703.0
2017-11-29,94409003342.0
2017-11-30,77704182844.0
2017-12-01,72064723367.0
2017-12-04,79301552972.0
2017-12-05,87408924597.0
2017-12-06,74993647698.0
2017-12-07,69245091449.0
2017-12-08,72390389048.0
2017-12-11,77392024898.0
2017-12-12,73964805523.0
2017-12-13,64676017755.0
2017-12-14,72497810176.0
2017-12-15,77690464896.0
2017-12-18,67137249169.0
2017-12-19,65186684817.0
2017-12-20,69446005873.0
2017-12-21,73900048518.0
2017-12-22,70736577942.0
2017-12-25,75604344578.0
2017-12-26,69117514462.0
2017-12-27,78009656616.0
2017-12-28,78010228451.0
2017-12-29,71841804485.0
2018-01-02,88153985316.0
2018-01-03,103454686368.0
2018-01-04,102929659396.0
2018-01-05,97642297444.0
2018-01-08,106389590370.0
2018-01-09,92837783216.0
2018-01-10,98938304429.0
2018-01-11,91569210698.0
2018-01-12,89777057638.0
2018-01-15,110512921326.0
2018-01-16,96364861655.0
2018-01-17,99694461862.0
2018-01-18,76896813455.0
2018-01-19,84263163776.0
2018-01-22,85475484245.0
2018-01-23,80539655636.0
2018-01-24,94754084073.0
2018-01-25,95990443459.0
2018-01-26,82476800609.0
2018-01-29,96862079562.0
2018-01-30,81577586589.0
2018-01-31,88106213761.0
2018-02-01,102122046942.0
2018-02-02,89557325620.0
2018-02-05,79277070536.0
2018-02-06,95655940855.0
2018-02-07,88965422773.0
2018-02-08,66338245095.0
2018-02-09,82291670302.0
2018-02-12,61430758213.0
2018-02-13,62790499693.0
2018-02-14,42489982297.0
2018-02-22,61991950413.0
2018-02-23,64825103161.0
2018-02-26,92064854906.0
2018-02-27,90285128512.0
2018-02-28,82266508208.0
2018-03-01,86470400022.0
2018-03-02,86135000103.0
2018-03-05,82113731232.0
2018-03-06,99900152655.0
2018-03-07,84935051857.0
2018-03-08,76733020342.0
2018-03-09,98413231492.0
2018-03-12,117237502377.0
2018-03-13,97523497130.0
2018-03-14,87185225281.0
2018-03-15,82975054448.0
2018-03-16,75643387216.0
2018-03-19,78681889716.0
2018-03-20,78423733546.0
2018-03-21,92526116108.0
2018-03-22,78135866726.0
2018-03-23,121045067671.0
2018-03-26,91809710463.0
2018-03-27,106538869536.0
2018-03-28,90975268229.0
2018-03-29,82742504256.0
2018-03-30,94445331821.0
2018-04-02,109910556974.0
2018-04-03,87808371289.0
2018-04-04,83134527958.0
2018-04-09,79255887033.0
2018-04-10,81611900906.0
2018-04-11,81079826331.0
2018-04-12,72705100810.0
2018-04-13,66885602110.0
2018-04-16,87151671406.0
2018-04-17,88004229071.0
2018-04-18,98199217832.0
2018-04-19,99648952359.0
2018-04-20,90559645161.0
2018-04-23,81374959446.0
2018-04-24,85162005263.0
2018-04-25,78868220460.0
2018-04-26,77107589606.0
2018-04-27,72295757676.0
2018-05-02,78765922511.0
2018-05-03,83816639269.0
2018-05-04,73639276000.0
2018-05-07,83485023684.0
2018-05-08,80480596675.0
2018-05-09,67413871007.0
2018-05-10,72313749966.0
2018-05-11,76807400761.0
2018-05-14,75641885813.0
2018-05-15,69542971179.0
2018-05-16,74115190084.0
2018-05-17,65967379650.0
2018-05-18,70899023731.0
2018-05-21,86933285890.0
2018-05-22,74429137265.0
2018-05-23,82629862738.0
2018-05-24,67066127743.0
2018-05-25,69492013355.0
2018-05-28,68653122202.99999
2018-05-29,67901925168.0
2018-05-30,76127637098.0
2018-05-31,65192215184.0
2018-06-01,61533903644.0
2018-06-04,54050300213.0
2018-06-05,56450385318.0
2018-06-06,56304602756.0
2018-06-07,54089371806.0
2018-06-08,58767162890.0
2018-06-11,48746492299.0
2018-06-12,54189505137.0
2018-06-13,53944405090.0
2018-06-14,49865462908.0
2018-06-15,59537596124.0
2018-06-19,76922845435.0
2018-06-20,57106400037.0
2018-06-21,60429343501.0
2018-06-22,49898726274.0
2018-06-25,46663143997.0
2018-06-26,49773352500.0
2018-06-27,48613424210.0
2018-06-28,46664972984.0
2018-06-29,57894812193.0
2018-07-02,58629477981.0
2018-07-03,64268450148.0
2018-07-04,53143823675.0
2018-07-05,52638805703.0
2018-07-06,62083400326.0
2018-07-09,55786376988.0
2018-07-10,54565886989.0
2018-07-11,58812377652.0
2018-07-12,71215041001.0
2018-07-13,61214640120.0
2018-07-16,57488249263.0
2018-07-17,52610201449.0
2018-07-18,57391510843.0
2018-07-19,51462192224.0
2018-07-20,58971319074.0
2018-07-23,71205888480.0
2018-07-24,89531029280.0
2018-07-25,72266872320.0
2018-07-26,65271805645.0
2018-07-27,54149400064.0
2018-07-30,58367011438.0
2018-07-31,49340085644.0
2018-08-01,58600856450.0
2018-08-02,67786089635.00001
2018-08-03,48281908095.0
2018-08-06,51046892567.0
2018-08-07,55813440682.0
2018-08-08,53408613615.0
2018-08-09,64727844418.0
2018-08-10,53025202318.0
2018-08-13,57931356663.0
2018-08-14,47977087129.0
2018-08-15,49219326097.0
2018-08-16,47422713812.0
2018-08-17,47777882689.0
2018-08-20,47753724289.0
2018-08-21,48883527002.0
2018-08-22,41150044535.0
2018-08-23,47302482149.0
2018-08-24,41741677834.0
2018-08-27,58402040239.0
2018-08-28,53028656165.0
2018-08-29,45121110906.0
2018-08-30,47422496786.0
2018-08-31,42052874631.0
2018-09-03,46495749586.0
2018-09-04,54969300206.0
2018-09-05,47239977655.0
2018-09-06,44572540920.0
2018-09-07,53242803442.0
2018-09-10,45376003771.0
2018-09-11,42215660888.0
2018-09-12,38524810760.0
2018-09-13,47279214488.0
2018-09-14,44931921146.0
2018-09-17,37905863065.0
2018-09-18,44579158885.0
2018-09-19,55671375969.0
2018-09-20,43574339400.0
2018-09-21,52507709799.0
2018-09-25,42641650959.0
2018-09-26,51709759382.0
2018-09-27,47097829211.0
2018-09-28,45938739634.0
2018-10-08,49494827742.0
2018-10-09,41244020750.0
2018-10-10,39541080144.0
2018-10-11,64480315025.0
