date,000852.SH_动量_120日
2020-08-25,17.99766582031428
2020-08-26,13.59104012715524
2020-08-27,14.249833735724193
2020-08-28,14.07488818303342
2020-08-31,14.726787526590135
2020-09-01,19.989121302158907
2020-09-02,17.179281478111008
2020-09-03,17.425561080906427
2020-09-04,19.708947512596374
2020-09-07,18.69878627649697
2020-09-08,25.545584202919926
2020-09-09,21.88022269609833
2020-09-10,19.398144550172724
2020-09-11,20.025379928073693
2020-09-14,20.77230621583286
2020-09-15,27.046909457917522
2020-09-16,23.483711610802427
2020-09-17,20.87135515918428
2020-09-18,23.84683774177061
2020-09-21,24.73304851930427
2020-09-22,25.85891223356336
2020-09-23,26.456570324320804
2020-09-24,23.538357926623775
2020-09-25,19.784490821152765
2020-09-28,18.943666494786115
2020-09-29,16.256985811254875
2020-09-30,15.722461416657296
2020-10-09,17.84510074042909
2020-10-12,24.811279106621775
2020-10-13,26.439382912912613
2020-10-14,22.77947988377864
2020-10-15,22.42682250077863
2020-10-16,21.14429526646071
2020-10-19,20.110188813824227
2020-10-20,19.29871617891168
2020-10-21,18.050986904071298
2020-10-22,16.223084717094483
2020-10-23,14.713709173655376
2020-10-26,17.14403584129254
2020-10-27,18.36599693941705
2020-10-28,20.21563484814852
2020-10-29,20.317040369632554
2020-10-30,14.67009117627387
2020-11-02,12.259871904797226
2020-11-03,14.694993264171451
2020-11-04,13.13229343177833
2020-11-05,15.433631172556229
2020-11-06,13.956127316666223
2020-11-09,15.801121603843349
2020-11-10,15.62710826396152
2020-11-11,13.136793902767053
2020-11-12,13.931284152588175
2020-11-13,12.629993616547353
2020-11-16,15.035683202606975
2020-11-17,15.368413251914381
2020-11-18,17.560331936886243
2020-11-19,18.450125689967244
2020-11-20,16.484529371072142
2020-11-23,17.942115391398694
2020-11-24,18.216419165993614
2020-11-25,15.051811341114174
2020-11-26,10.83454390666947
2020-11-27,10.64392010823283
2020-11-30,10.47138160707557
2020-12-01,11.761164678863413
2020-12-02,11.975816977144094
2020-12-03,11.837365801809119
2020-12-04,11.655993337542858
2020-12-07,11.301762412382743
2020-12-08,11.729145286900678
2020-12-09,9.473213567866235
2020-12-10,9.55780633050274
2020-12-11,5.6334739479123375
2020-12-14,6.452989348107008
2020-12-15,7.27260965381169
2020-12-16,5.758008240424828
2020-12-17,5.93838211275044
2020-12-18,5.361628740438751
2020-12-21,7.451046751097556
2020-12-22,5.451091852950651
2020-12-23,4.457387653733513
2020-12-24,2.4759153849472693
2020-12-25,2.2969130420682937
2020-12-28,0.6346905500176581
2020-12-29,-3.698106460422912
2020-12-30,-4.268000319748189
2020-12-31,-4.69634865184263
2021-01-04,-5.3383884209257
2021-01-05,-4.796599273136836
2021-01-06,-9.160173574648734
2021-01-07,-9.917446286771137
2021-01-08,-7.657683340065013
2021-01-11,-4.1754904082118465
2021-01-12,-3.068229044374271
2021-01-13,-6.99672451597928
2021-01-14,-7.819526256536746
2021-01-15,-8.379788807310051
2021-01-18,-6.567367978557326
2021-01-19,-2.5139747022783654
2021-01-20,-1.6957195644489276
2021-01-21,-1.6453068352408229
2021-01-22,-4.795925725002103
2021-01-25,-5.556958989237226
2021-01-26,-8.506432459317182
2021-01-27,-11.332547583719565
2021-01-28,-12.654092899292124
2021-01-29,-15.12107723230044
2021-02-01,-14.623784935833918
2021-02-02,-12.566404806619492
2021-02-03,-14.288509554874107
2021-02-04,-14.496521024378195
2021-02-05,-14.763192197796082
2021-02-08,-14.409911866292413
2021-02-09,-12.944769082871332
2021-02-10,-14.120302547246755
2021-02-18,-13.571032122018266
2021-02-19,-10.039574532500184
2021-02-22,-8.623473538443083
2021-02-23,-9.789903748453288
2021-02-24,-11.246811411192336
2021-02-25,-11.288767024176172
2021-02-26,-10.124684113799965
2021-03-01,-8.696432102792384
2021-03-02,-10.245277941527064
2021-03-03,-9.280807715809337
