time,000905.SH_均线_20日
2017-09-14,6494.25985
2017-09-15,6507.97425
2017-09-18,6521.258
2017-09-19,6534.259950000001
2017-09-20,6552.74445
2017-09-21,6569.41725
2017-09-22,6580.691199999999
2017-09-25,6583.9542
2017-09-26,6589.5822499999995
2017-09-27,6596.066049999999
2017-09-28,6600.93435
2017-09-29,6604.77205
2017-10-09,6610.4566
2017-10-10,6617.137699999999
2017-10-11,6620.1053
2017-10-12,6625.1303
2017-10-13,6631.91195
2017-10-16,6630.390850000001
2017-10-17,6628.837399999999
2017-10-18,6622.79025
2017-10-19,6614.250999999999
2017-10-20,6611.719999999999
2017-10-23,6608.88545
2017-10-24,6607.23465
2017-10-25,6605.005650000001
2017-10-26,6607.9998
2017-10-27,6610.93965
2017-10-30,6612.035549999999
2017-10-31,6614.0099
2017-11-01,6612.50065
2017-11-02,6608.35735
2017-11-03,6599.5434
2017-11-06,6591.17965
2017-11-07,6583.502399999999
2017-11-08,6578.263399999999
2017-11-09,6575.876200000001
2017-11-10,6572.4462
2017-11-13,6575.04615
2017-11-14,6575.1247
2017-11-15,6573.835649999999
2017-11-16,6576.6811
2017-11-17,6566.207
2017-11-20,6557.2273000000005
2017-11-21,6549.8947
2017-11-22,6539.4722
2017-11-23,6519.60135
2017-11-24,6501.96245
2017-11-27,6486.101949999999
2017-11-28,6473.0572999999995
2017-11-29,6461.32795
2017-11-30,6450.2527
2017-12-01,6444.72405
2017-12-04,6433.150299999999
2017-12-05,6412.1991
2017-12-06,6392.75475
2017-12-07,6368.96065
2017-12-08,6347.057
2017-12-11,6327.80505
2017-12-12,6308.73995
2017-12-13,6295.7292
2017-12-14,6282.0178
2017-12-15,6275.70875
2017-12-18,6264.0497
2017-12-19,6253.794199999999
2017-12-20,6241.79025
2017-12-21,6239.9896
2017-12-22,6238.2324
2017-12-25,6237.78435
2017-12-26,6233.8261
2017-12-27,6226.56535
2017-12-28,6223.6078
2017-12-29,6220.3285000000005
2018-01-02,6222.9588
2018-01-03,6235.72585
2018-01-04,6247.96245
2018-01-05,6262.051649999999
2018-01-08,6274.2036
2018-01-09,6282.1826
2018-01-10,6290.819
2018-01-11,6298.24395
2018-01-12,6304.0086
2018-01-15,6304.88935
2018-01-16,6309.94655
2018-01-17,6310.75745
2018-01-18,6315.12935
2018-01-19,6316.823399999999
2018-01-22,6322.06105
2018-01-23,6330.5314
2018-01-24,6339.23905
2018-01-25,6349.71725
2018-01-26,6358.685299999999
2018-01-29,6361.63845
2018-01-30,6360.6992
2018-01-31,6350.7536
2018-02-01,6329.114
2018-02-02,6308.49375
2018-02-05,6286.09585
2018-02-06,6249.02175
2018-02-07,6214.2913499999995
2018-02-08,6181.31835
2018-02-09,6139.0945
2018-02-12,6111.3805999999995
2018-02-13,6083.1715
2018-02-14,6057.5402
2018-02-22,6036.9865
2018-02-23,6018.2513500000005
2018-02-26,6002.3534500000005
2018-02-27,5985.1314
2018-02-28,5966.60025
2018-03-01,5951.975649999999
2018-03-02,5935.61085
2018-03-05,5923.32155
2018-03-06,5914.9283000000005
2018-03-07,5909.7856
2018-03-08,5917.124150000001
2018-03-09,5927.23045
2018-03-12,5942.10815
2018-03-13,5969.60225
2018-03-14,5993.5015
